,mapping_framework,mapping_framework_version,capability_group,capability_id,,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,references,comments,organization,creation_date,last_update
0,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,84,Abuse of functionality.,related-to,T1047,Windows Management Instrumentation,12.1,enterprise,[],,,4/6/23,4/6/23
1,veris,1.3.7,action.hacking,action.hacking.vector.Command shell,14,Remote shell,related-to,T1047,Windows Management Instrumentation,12.1,enterprise,[],,,4/6/23,4/6/23
2,veris,1.3.7,action.malware,action.malware.vector.Direct install,2,Directly installed or inserted by threat agent (after system access),related-to,T1047,Windows Management Instrumentation,12.1,enterprise,[],,,4/6/23,4/6/23
3,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,84,Abuse of functionality.,related-to,T1053,Scheduled Task/Job,12.1,enterprise,[],,,4/6/23,4/6/23
4,veris,1.3.7,action.hacking,action.hacking.variety.Backdoor,12,Hacking action that creates a backdoor for use.,related-to,T1053,Scheduled Task/Job,12.1,enterprise,[],,,4/6/23,4/6/23
5,veris,1.3.7,action.hacking,action.hacking.vector.Backdoor,12,Hacking actions taken through a backdoor.  C2 is only used by malware.,related-to,T1053,Scheduled Task/Job,12.1,enterprise,[],,,4/6/23,4/6/23
6,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,84,Abuse of functionality.,related-to,T1053.002,Scheduled Task/Job: At,12.1,enterprise,[],,,4/6/23,4/6/23
7,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,84,Abuse of functionality.,related-to,T1053.003,Scheduled Task/Job: Cron,12.1,enterprise,[],,,4/6/23,4/6/23
8,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,84,Abuse of functionality.,related-to,T1053.005,Scheduled Task/Job: Scheduled Task,12.1,enterprise,[],,,4/6/23,4/6/23
9,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,84,Abuse of functionality.,related-to,T1053.006,Scheduled Task/Job: Systemd Timers,12.1,enterprise,[],,,4/6/23,4/6/23
10,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,84,Abuse of functionality.,related-to,T1053.007,Scheduled Task/Job: Container Orchestration Job,12.1,enterprise,[],,,4/6/23,4/6/23
11,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,84,Abuse of functionality.,related-to,T1059,Command and Scripting Interpreter,12.1,enterprise,[],,,4/6/23,4/6/23
12,veris,1.3.7,action.hacking,action.hacking.variety.OS commanding,4,OS commanding. Child of 'Exploit vuln'.,related-to,T1059,Command and Scripting Interpreter,12.1,enterprise,[],,,4/6/23,4/6/23
13,veris,1.3.7,action.hacking,action.hacking.vector.Command shell,14,Remote shell,related-to,T1059,Command and Scripting Interpreter,12.1,enterprise,[],,,4/6/23,4/6/23
14,veris,1.3.7,action.hacking,action.hacking.variety.Abuse of functionality,84,Abuse of functionality.,related-to,T1059.001,Command and Scripting Interpreter: PowerShell,12.1,enterprise,[],,,4/6/23,4/6/23
15,veris,1.3.7,action.hacking,action.hacking.vector.Command shell,14,Remote shell,related-to,T1059.001,Command and Scripting Interpreter: PowerShell,12.1,enterprise,[],,,4/6/23,4/6/23
